"PayPal","payment_method,accepted_payment_method","",
"Visa","payment_method,accepted_payment_method","",
"BPAY","payment_method","",
"Buy Now Pay Later","payment_method","Afterpay,LazyPay,zipPay,Openpay,Klarna",
"Electronic Funds Transfer","payment_method","Bank Transfer,EFT",
"Digital Payment","payment_method","Samsung Pay,Google Pay,Skrill\,PayU Wallet,Qiwi,PayU,GrabPay,GCash,Cash App,AliPay,Citrus Pay,Zelle,Amazon Pay,Yandex,Mobikiwi,Ewallet,Apple Pay,Venmo,Neteller,eBay Managed Payment,WePay Chat,Paytm,Skrill",
"eCheck","payment_method","",
"Automated Clearing House","payment_method,accepted_payment_method","ACH,online banking payment",
"Poli","payment_method","POLi Payments",
"Prepaid Card","payment_method","Paysafecard,Openbucks,SNAP",
"Cash on delivery","payment_method","COD",
"Gift Card","payment_method,accepted_payment_method","",
"Cryptocurrency","payment_method","crypto,digital currency,Bitcoin",
"Credit Card","payment_method,accepted_payment_method","Mastercard,Maestro,American Express,Discover",
